bin,lo,hi,n,mean_conf,accuracy,gap,model
0,0.0,0.0667,0,,,,SVM
1,0.0667,0.1333,0,,,,SVM
2,0.1333,0.2,0,,,,SVM
3,0.2,0.2667,0,,,,SVM
4,0.2667,0.3333,0,,,,SVM
5,0.3333,0.4,0,,,,SVM
6,0.4,0.4667,14,0.4314,0.1429,-0.2885,SVM
7,0.4667,0.5333,31,0.5001,0.3548,-0.1453,SVM
8,0.5333,0.6,52,0.5669,0.2115,-0.3554,SVM
9,0.6,0.6667,66,0.6385,0.2424,-0.3961,SVM
10,0.6667,0.7333,932,0.723,0.5,-0.223,SVM
11,0.7333,0.8,5963,0.766,0.8239,0.0579,SVM
12,0.8,0.8667,3929,0.8263,0.8875,0.0612,SVM
13,0.8667,0.9333,20887,0.9139,0.934,0.0201,SVM
14,0.9333,1.0,43927,0.9589,0.9716,0.0127,SVM
0,0.0,0.0667,0,,,,XGBoost
1,0.0667,0.1333,0,,,,XGBoost
2,0.1333,0.2,0,,,,XGBoost
3,0.2,0.2667,0,,,,XGBoost
4,0.2667,0.3333,0,,,,XGBoost
5,0.3333,0.4,66,0.3786,0.4242,0.0456,XGBoost
6,0.4,0.4667,217,0.4357,0.3779,-0.0578,XGBoost
7,0.4667,0.5333,851,0.5076,0.4806,-0.027,XGBoost
8,0.5333,0.6,1170,0.5666,0.5308,-0.0358,XGBoost
9,0.6,0.6667,1270,0.6342,0.5945,-0.0397,XGBoost
10,0.6667,0.7333,1489,0.7006,0.6655,-0.0351,XGBoost
11,0.7333,0.8,1795,0.7679,0.7281,-0.0398,XGBoost
12,0.8,0.8667,2520,0.8354,0.7829,-0.0525,XGBoost
13,0.8667,0.9333,4500,0.9038,0.8624,-0.0414,XGBoost
14,0.9333,1.0,61923,0.9929,0.9762,-0.0167,XGBoost
0,0.0,0.0667,0,,,,Random Forest
1,0.0667,0.1333,0,,,,Random Forest
2,0.1333,0.2,0,,,,Random Forest
3,0.2,0.2667,0,,,,Random Forest
4,0.2667,0.3333,1,0.3226,0.0,-0.3226,Random Forest
5,0.3333,0.4,230,0.3766,0.3739,-0.0027,Random Forest
6,0.4,0.4667,848,0.4374,0.4587,0.0213,Random Forest
7,0.4667,0.5333,1982,0.5047,0.5283,0.0236,Random Forest
8,0.5333,0.6,2402,0.5656,0.627,0.0614,Random Forest
9,0.6,0.6667,2573,0.6341,0.6945,0.0604,Random Forest
10,0.6667,0.7333,2936,0.7004,0.752,0.0516,Random Forest
11,0.7333,0.8,3389,0.7671,0.825,0.0579,Random Forest
12,0.8,0.8667,4881,0.8361,0.8697,0.0336,Random Forest
13,0.8667,0.9333,7519,0.9032,0.9435,0.0403,Random Forest
14,0.9333,1.0,49040,0.9875,0.9877,0.0002,Random Forest
0,0.0,0.0667,0,,,,MLP
1,0.0667,0.1333,0,,,,MLP
2,0.1333,0.2,0,,,,MLP
3,0.2,0.2667,0,,,,MLP
4,0.2667,0.3333,0,,,,MLP
5,0.3333,0.4,143,0.3785,0.3776,-0.0009,MLP
6,0.4,0.4667,543,0.4394,0.4604,0.021,MLP
7,0.4667,0.5333,1650,0.5068,0.5018,-0.005,MLP
8,0.5333,0.6,2302,0.567,0.5912,0.0242,MLP
9,0.6,0.6667,2854,0.6349,0.6268,-0.0081,MLP
10,0.6667,0.7333,3162,0.7008,0.7641,0.0633,MLP
11,0.7333,0.8,3724,0.7675,0.7999,0.0324,MLP
12,0.8,0.8667,4327,0.8335,0.8361,0.0026,MLP
13,0.8667,0.9333,5029,0.9018,0.8725,-0.0293,MLP
14,0.9333,1.0,52067,0.9921,0.986,-0.0061,MLP
